 |WURZEL|STAMM|VERB|NOMEN|ADJEKTIV|WEITERE|KOGNATE|BEDEUTUNG|GLOSE
| aal | aal | aal -en | der Aal | | | |Lebewesen|
| aas | aas | aas -en | das Aas | | | |Analogon| "verschwenderisch sein"
| aas | aas | äs -en (U) | das Aas | | | < mhd. āʒ "Futter" |Instrument| "fressen"
| abenteuer | abenteuer | abenteuer -n | das Abenteuer | | | Lehnwort < fr. aventure |Resultat|
| ach | ach | äch -z -en (U) | | | ach | |Stimmgeräusch|
| achel | achel | achel -n | die Achel | | | |Verzehr|
| acht | acht | ächt -en (U) | die Acht | | | < ahd. āhta "Friedlosigkeit" ≠ numeral  8 |Resultat| "Jemand mit Acht belegen"
| acht | acht | acht -en | die Acht | | | < ahd. ahta ~ beachten ≠ numeral  8 |Resultat|
| acker | acker | acker -n | der Acker | | | ~ lat. ager |Ort|
| adel | adel | adel -n | der Adel | | | |Resultat|
| ader | ader | äder -n (U) | die Ader | | | < ie. \*ēter |Meronym|
| affe | affe | äffe -n (U) | der Affe | | | |Lebewesen|
| ag | ach -sel | achsel -n | die Achsel | | | ~ ie. \*ag "Arme schwingen" |Instrument|
| ahm | nach- ahm | nachahm -en | | | | ~ amen "abmessen" | |
| ahn | ahn | ahn -en | die Ahn -ung | | | ~ an | |
| ahnd | ahnd | ahnd -en | die Ahnd -ung | | | | |
| ahne | ahne | ähne -l -n (U) | der Ahne | | | |Lebewesen|
| alber | alber | alber -n | | alber-n | | | |
| alge | alge | ver- alge -n | die Alge | | | |Meronym|
| alp | alp | alp -en | die Alp | | | |Ort|
| alt | alt | ver- alt -en | | alt | | | |
| alter | alter -tum | altertüm -el -n (U) | das Altertum | | | |Analogon|
| alter | alter | alter -n | das Alter | | | < germ. \*aldra |Resultat|
| amen | amen | be- am -en | | | amen | | |
| ampel | ampel | be- ampel -n | die Ampel | | | Lehnwort < lat. ampulla |Instrument|
| amt | amt | amt -en | das Amt | | | |Analogon| "ein Amt innehaben"
| amt | be- amt -e | ver- beamte -n | der Beamte | | | |Lebewesen|
| ander | ander | änder -n (U) | | ander | | | |
| angel | angel | angel -n | die Angel | | | |Instrument|
| angst | angst | ängst -en (U) | die Angst | | | |Resultat|
| angst | angst | ängst -ig -en (U) | die Angst | | | |Resultat|
| anker | anker | anker -n | das Anker | | | ~ grk. ánkȳra |Instrument|
| ant-wort | antwort | antwort -en | die Antwort | | | |Resultat|
| aper | aper | aper -n | | aper | | | | "schmelzen, schneefrei"
| apfel | apfel | äpfel -n (U) | der Apfel | | | |Resultat| "Pferdeäpfel fallen lassen"
| apfel | äppel | ver- äppel -n (U) | der Apfel | | | ~? Volksetymologie |Analogon| "täuschen"
| arbeit | arbeit | arbeit -en | die Arbeit | | | |Resultat|
| arg | arg -er | ärger -n (U) | | ärger | | | |
| arg | arg | ver- arg -en | | arg | | | |
| arg-wohn | argwohn | argwöhn -en (U) | der Argwohn | | | |Empfindung|
| arg-wohn | argwohn | argwohn -en | der Argwohn | | | |Empfindung|
| arm 1 | arm | ver- arm -en | | arm | | ≠ der Arm | |
| arm 2 | arm | um- arm -en | der Arm | | | |Instrument|
| arsch | arsch | ver- arsch -en | der Arsch | | | |Analogon|
| art | art | art -en | die Art | | | |Analogon|
| arzt | arzt | ver- arzt -en | der Arzt | | | |Lebewesen|
| asche | asche | ab/ein- äsche -r -n (U) | die Asche | | | |Resultat|
| asche | asche | ent- asche -n | die Asche | | | |Meronym|
| ast | ast | äst -en (U) | der Ast | | | |Resultat| "Äste treiben"
| ast | ast | ast -en | der Ast | | | |Analogon| "anstrengen"
| ast | ast | ver- äst -el -n (U) | der Ast | | | |Resultat|
| atem | atem | atm -en | der Atem | | | |Resultat/Instrument|
